日期,开盘,最高,最低,收盘,成交量
2024-08-12,127.5,128.49000549316406,127.12000274658203,127.70999908447266,7310797
2024-08-13,127.58999633789062,127.95999908447266,125.12000274658203,125.5999984741211,12451739
2024-08-14,125.5,125.58999633789062,123.88999938964844,124.33000183105469,9494697
2024-08-15,124.0199966430664,126.1500015258789,123.86000061035156,124.94999694824219,11162349
2024-08-16,124.5,125.37000274658203,123.58000183105469,125.01000213623047,9726670
2024-08-19,125.0,127.0,123.9000015258789,123.94999694824219,13875921
2024-08-20,123.94999694824219,124.0,122.66000366210938,123.1500015258789,10985221
2024-08-21,122.80000305175781,123.13999938964844,122.0999984741211,122.19999694824219,9710809
2024-08-22,122.20999908447266,122.38999938964844,119.95999908447266,120.98999786376953,18528513
2024-08-23,120.5999984741211,122.0999984741211,120.5199966430664,121.11000061035156,8898800
2024-08-26,120.9800033569336,121.87000274658203,118.04000091552734,118.12000274658203,20401007
2024-08-27,117.69999694824219,118.19999694824219,115.55000305175781,117.69999694824219,15660884
2024-08-28,117.0,117.0,112.91999816894531,114.0,24729242
2024-08-29,115.5,120.29000091552734,115.12999725341797,118.77999877929688,30025609
2024-08-30,118.0,124.66000366210938,116.77999877929688,123.02999877929688,33779842
2024-09-02,122.0,122.30999755859375,119.0,119.0,17755490
2024-09-03,119.08000183105469,121.47000122070312,119.0,120.31999969482422,12798410
2024-09-04,119.33000183105469,120.80000305175781,119.02999877929688,119.11000061035156,8469238
2024-09-05,119.0999984741211,119.87999725341797,118.5,119.55000305175781,8279466
2024-09-06,119.5,119.5,117.5,117.52999877929688,7772198
2024-09-09,116.9000015258789,117.48999786376953,115.5199966430664,116.22000122070312,11158667
2024-09-10,116.22000122070312,118.26000213623047,115.9000015258789,116.43000030517578,10605023
2024-09-11,115.80000305175781,117.06999969482422,115.0,116.01000213623047,7659099
2024-09-12,116.0,116.37999725341797,113.36000061035156,113.36000061035156,16984847
2024-09-13,113.30000305175781,113.30000305175781,109.19999694824219,109.19999694824219,31153086
2024-09-18,108.25,109.56999969482422,107.20999908447266,107.69000244140625,17763923
2024-09-19,107.7300033569336,112.86000061035156,106.33000183105469,110.9000015258789,31818095
2024-09-20,110.12999725341797,110.8499984741211,108.5999984741211,110.27999877929688,19668110
2024-09-23,110.91000366210938,113.79000091552734,110.4000015258789,112.29000091552734,20371180
2024-09-24,114.9000015258789,120.4000015258789,113.51000213623047,120.36000061035156,47346927
2024-09-25,123.5999984741211,125.62000274658203,121.87999725341797,122.0999984741211,41718945
2024-09-26,122.0999984741211,134.30999755859375,121.91000366210938,134.30999755859375,66453364
2024-09-27,141.8000030517578,147.74000549316406,138.52999877929688,147.74000549316406,86457718
2024-09-30,156.02000427246094,162.50999450683594,152.6999969482422,162.50999450683594,98620119
2024-10-08,178.75999450683594,178.75999450683594,155.5500030517578,164.0500030517578,130680565
2024-10-09,160.0,160.0,147.66000366210938,147.67999267578125,81546859
2024-10-10,147.6699981689453,155.52999877929688,147.6699981689453,151.97999572753906,60060115
2024-10-11,150.0,153.32000732421875,148.0,149.64999389648438,28515763
2024-10-14,151.0,151.0,146.00999450683594,149.75999450683594,33496575
2024-10-15,150.0,150.10000610351562,144.0,144.0,32970192
2024-10-16,142.0,144.2899932861328,140.0800018310547,141.64999389648438,31227224
2024-10-17,142.5,142.9199981689453,137.88999938964844,137.9499969482422,28250755
2024-10-18,137.00999450683594,145.55999755859375,136.36000061035156,143.0,44144323
2024-10-21,143.99000549316406,145.5,141.10000610351562,143.00999450683594,29576515
2024-10-22,142.8000030517578,146.4499969482422,142.2100067138672,145.44000244140625,30466330
2024-10-23,145.47000122070312,149.52999877929688,144.0,148.52999877929688,35813825
2024-10-24,146.8000030517578,148.5,146.11000061035156,146.4600067138672,18642006
2024-10-25,145.4600067138672,149.8699951171875,145.4600067138672,148.11000061035156,19805485
2024-10-28,149.00999450683594,154.0,146.6699981689453,153.97000122070312,43810985
2024-10-29,153.97000122070312,156.8800048828125,150.39999389648438,150.8000030517578,30315753
2024-10-30,149.0,151.30999755859375,147.3000030517578,148.8000030517578,21187042
2024-10-31,147.0,149.1999969482422,145.41000366210938,146.8300018310547,26944088
2024-11-01,145.72000122070312,150.8000030517578,145.72000122070312,147.9199981689453,22719198
2024-11-04,148.5,149.2100067138672,146.0800018310547,148.60000610351562,20505185
2024-11-05,148.0,152.99000549316406,146.8000030517578,152.8000030517578,32031809
2024-11-06,152.75999450683594,153.0,149.14999389648438,151.25,30206560
2024-11-07,150.0399932861328,163.02000427246094,149.8300018310547,162.24000549316406,67187150
2024-11-08,164.0,164.60000610351562,156.0,156.47000122070312,56747365
2024-11-11,153.35000610351562,154.85000610351562,151.1999969482422,154.82000732421875,36601207
2024-11-12,154.82000732421875,159.0,153.64999389648438,154.3000030517578,35134682
2024-11-13,153.0,155.3300018310547,152.66000366210938,153.94000244140625,19433400
2024-11-14,153.11000061035156,155.8800048828125,152.14999389648438,153.49000549316406,21792782
2024-11-15,153.47999572753906,154.0,150.5500030517578,151.2899932861328,25544269
2024-11-18,151.27999877929688,153.36000061035156,149.0,149.3300018310547,20986101
2024-11-19,149.55999755859375,150.63999938964844,145.3000030517578,148.4499969482422,23341346
2024-11-20,148.4499969482422,150.38999938964844,147.1999969482422,149.60000610351562,14981538
2024-11-21,149.0,150.10000610351562,148.16000366210938,149.5,11446054
2024-11-22,149.39999389648438,150.00999450683594,144.64999389648438,144.88999938964844,18942474
2024-11-25,145.88999938964844,147.17999267578125,142.6999969482422,143.8000030517578,19168995
2024-11-26,143.5,146.60000610351562,142.5,144.8000030517578,17535782
2024-11-27,144.77000427246094,147.88999938964844,143.5800018310547,147.0500030517578,20024978
2024-11-28,145.0,146.9499969482422,143.8000030517578,144.0,19045387
2024-11-29,145.02000427246094,149.69000244140625,144.39999389648438,146.77000427246094,28727796
2024-12-02,147.1300048828125,148.42999267578125,145.55999755859375,147.39999389648438,17976352
2024-12-03,147.6999969482422,147.77000427246094,146.1999969482422,146.99000549316406,14014314
2024-12-04,146.89999389648438,146.94000244140625,144.77000427246094,145.72999572753906,14843403
2024-12-05,145.0,145.66000366210938,144.50999450683594,145.02999877929688,10321021
2024-12-06,144.66000366210938,148.0,144.66000366210938,146.44000244140625,18754575
2024-12-09,146.4499969482422,147.41000366210938,145.14999389648438,145.75999450683594,14542425
2024-12-10,153.0,154.8800048828125,148.89999389648438,149.10000610351562,46326278
2024-12-11,148.02000427246094,151.5,148.02000427246094,149.39999389648438,19999335
2024-12-12,149.44000244140625,152.0,148.47000122070312,151.82000732421875,25365291
2024-12-13,150.35000610351562,150.67999267578125,148.0,148.0399932861328,28422742
2024-12-16,148.02999877929688,148.0399932861328,144.02000427246094,144.58999633789062,26477262
2024-12-17,144.5800018310547,146.75,143.60000610351562,144.88999938964844,15949283
2024-12-18,145.0,146.27999877929688,144.55999755859375,145.1999969482422,12067558
2024-12-19,144.10000610351562,144.41000366210938,143.30999755859375,143.5500030517578,15198227
2024-12-20,143.6999969482422,144.47000122070312,142.72000122070312,143.2100067138672,17283558
2024-12-23,142.32000732421875,143.94000244140625,142.25,142.4499969482422,14260102
2024-12-24,142.35000610351562,143.5,141.7100067138672,143.47999572753906,14333019
2024-12-25,143.47999572753906,143.8800048828125,142.5800018310547,143.0800018310547,9613952
2024-12-26,143.1199951171875,143.22999572753906,141.85000610351562,142.49000549316406,10476825
2024-12-27,142.60000610351562,142.9499969482422,141.57000732421875,142.52000427246094,13445059
2024-12-30,142.02000427246094,143.1699981689453,141.0,141.2100067138672,16367180
2024-12-31,141.22000122070312,143.60000610351562,140.00999450683594,140.0399932861328,24521867
2025-01-02,140.0,140.0,136.3000030517578,136.99000549316406,25564735
2025-01-03,137.0800018310547,137.9600067138672,134.75,135.39999389648438,16823014
2025-01-06,131.89999389648438,133.9600067138672,130.3800048828125,130.8300018310547,27943013
2025-01-07,131.1999969482422,131.66000366210938,129.60000610351562,130.85000610351562,19018740
2025-01-08,130.86000061035156,131.74000549316406,128.02000427246094,129.6999969482422,19287619
2025-01-09,129.91000366210938,132.35000610351562,128.14999389648438,130.5800018310547,15918343
2025-01-10,130.5,130.8300018310547,128.60000610351562,128.60000610351562,13537786
2025-01-13,127.31999969482422,129.5,126.95999908447266,129.1999969482422,12149103
2025-01-14,129.3000030517578,133.3000030517578,128.89999389648438,133.02000427246094,22862469
2025-01-15,133.3000030517578,133.67999267578125,132.22000122070312,132.77000427246094,12812277
2025-01-16,133.02000427246094,133.25,131.05999755859375,131.47999572753906,16309620
2025-01-17,132.0,133.8800048828125,131.5500030517578,132.3000030517578,15245016
2025-01-20,132.8800048828125,135.49000549316406,132.72999572753906,134.3000030517578,19417359
2025-01-21,134.85000610351562,135.0,132.8000030517578,133.38999938964844,13279686
2025-01-22,132.9499969482422,133.0,130.1300048828125,130.35000610351562,17418217
2025-01-23,129.0,130.99000549316406,128.47000122070312,128.64999389648438,18448933
2025-01-24,127.80000305175781,128.5800018310547,126.48999786376953,127.72000122070312,18943572
2025-01-27,128.0,128.5500030517578,127.0999984741211,127.19999694824219,12653510
2025-02-05,127.55000305175781,127.87999725341797,124.51000213623047,125.01000213623047,18691574
2025-02-06,124.80000305175781,126.38999938964844,124.69000244140625,125.9000015258789,13819081
2025-02-07,126.0,128.8800048828125,125.12000274658203,127.62999725341797,23247330
2025-02-10,127.68000030517578,128.1999969482422,126.9000015258789,127.52999877929688,13654558
2025-02-11,127.5999984741211,128.07000732421875,125.72000122070312,126.26000213623047,17600170
2025-02-12,126.26000213623047,127.70999908447266,125.5999984741211,127.69999694824219,17735327
2025-02-13,127.72000122070312,132.0,127.25,131.50999450683594,46762606
2025-02-14,130.5500030517578,132.1999969482422,130.10000610351562,131.22999572753906,21810735
2025-02-17,131.88999938964844,133.52999877929688,131.08999633789062,131.5500030517578,20507840
2025-02-18,131.47999572753906,132.38999938964844,129.36000061035156,130.1999969482422,18596134
2025-02-19,130.1999969482422,131.5,129.33999633789062,131.11000061035156,15364181
2025-02-20,130.38999938964844,132.7899932861328,130.3000030517578,130.5,13253049
2025-02-21,130.60000610351562,132.66000366210938,129.92999267578125,131.1199951171875,21001653
2025-02-24,130.89999389648438,133.49000549316406,130.36000061035156,131.89999389648438,24439219
2025-02-25,130.8800048828125,130.9199981689453,128.5800018310547,128.75,22190136
2025-02-26,128.7100067138672,129.8000030517578,128.10000610351562,129.8000030517578,17924348
2025-02-27,129.99000549316406,133.08999633789062,129.8000030517578,132.75,37079506
2025-02-28,132.60000610351562,135.6999969482422,131.5,131.5800018310547,33720213
2025-03-03,131.5800018310547,135.60000610351562,130.35000610351562,130.83999633789062,21035512
2025-03-04,130.05999755859375,130.36000061035156,128.7100067138672,129.75,14934839
2025-03-05,129.75,130.0,127.62000274658203,128.61000061035156,19936646
2025-03-06,129.3300018310547,131.8000030517578,128.64999389648438,131.67999267578125,23585718
2025-03-07,131.1999969482422,134.8000030517578,130.91000366210938,134.8000030517578,34007291
2025-03-10,134.5,134.5,131.66000366210938,132.69000244140625,20635305
2025-03-11,131.50999450683594,135.2100067138672,131.4600067138672,135.1999969482422,32103562
2025-03-12,135.3000030517578,136.2100067138672,132.6199951171875,132.97000122070312,28801774
2025-03-13,132.97000122070312,134.32000732421875,132.25,132.38999938964844,16792264
2025-03-14,133.0,141.97999572753906,133.0,140.8000030517578,76551575
2025-03-17,142.39999389648438,142.9600067138672,139.3800048828125,139.83999633789062,38773048
2025-03-18,140.22000122070312,140.5500030517578,138.72000122070312,139.5500030517578,18673497
2025-03-19,139.5500030517578,140.7899932861328,138.36000061035156,138.9199981689453,16815724
2025-03-20,138.8800048828125,139.0,135.86000061035156,135.99000549316406,22872209
2025-03-21,135.6999969482422,137.5,134.19000244140625,134.60000610351562,19713023
2025-03-24,134.05999755859375,134.92999267578125,133.02999877929688,134.30999755859375,18048886
2025-03-25,134.60000610351562,134.6999969482422,132.60000610351562,133.55999755859375,17567115
2025-03-26,133.5399932861328,133.8800048828125,132.88999938964844,133.35000610351562,10882580
2025-03-27,133.0800018310547,134.77000427246094,132.5,133.89999389648438,14086564
2025-03-28,134.0800018310547,134.25,132.39999389648438,133.22999572753906,12099601
2025-03-31,133.2100067138672,133.3800048828125,131.35000610351562,131.35000610351562,14485487
2025-04-01,131.42999267578125,132.25,131.13999938964844,131.7899932861328,12170463
2025-04-02,131.8699951171875,132.5500030517578,131.05999755859375,131.14999389648438,10102473
2025-04-03,129.5500030517578,133.47999572753906,129.38999938964844,132.0,16562264
2025-04-07,128.5,130.4499969482422,123.80000305175781,126.77999877929688,46309272
2025-04-08,126.77999877929688,131.24000549316406,126.77999877929688,130.75999450683594,33185668
2025-04-09,129.5,132.83999633789062,129.35000610351562,132.25,29699887
2025-04-10,132.3000030517578,133.49000549316406,130.5,133.14999389648438,23310636
2025-04-11,132.1999969482422,133.47000122070312,130.5800018310547,131.60000610351562,17429334
2025-04-14,131.5,132.6699981689453,131.00999450683594,131.0399932861328,12578106
2025-04-15,131.0,131.4499969482422,130.0800018310547,131.35000610351562,11482502
2025-04-16,130.8000030517578,132.5500030517578,129.67999267578125,132.3000030517578,16668022
2025-04-17,131.3300018310547,132.99000549316406,131.0,132.52999877929688,15292281
2025-04-18,132.00999450683594,132.57000732421875,131.2100067138672,131.75,8947834
2025-04-21,131.58999633789062,132.0,130.13999938964844,130.33999633789062,14436366
2025-04-22,130.1999969482422,130.74000549316406,129.5,130.10000610351562,11585468
2025-04-23,130.47999572753906,130.6999969482422,129.5500030517578,129.97000122070312,9594427
2025-04-24,129.8000030517578,130.1999969482422,129.00999450683594,129.05999755859375,13152369
2025-04-25,129.1999969482422,130.22000122070312,128.9600067138672,129.0500030517578,10718307
2025-04-28,130.11000061035156,131.66000366210938,129.89999389648438,130.85000610351562,18504541
2025-04-29,130.14999389648438,130.60000610351562,129.2899932861328,129.5500030517578,12479570
2025-04-30,129.61000061035156,130.3000030517578,128.6699981689453,128.6999969482422,14662657
2025-05-06,129.0,129.5500030517578,128.07000732421875,129.49000549316406,14634943
2025-05-07,130.89999389648438,131.80999755859375,129.8000030517578,129.99000549316406,15247040
2025-05-08,129.7100067138672,133.0,129.27999877929688,131.8000030517578,20802315
2025-05-09,131.8000030517578,132.10000610351562,131.00999450683594,131.5800018310547,11054836
2025-05-12,132.0,133.25,131.5,132.97000122070312,16456000
2025-05-13,133.66000366210938,133.66000366210938,132.42999267578125,132.99000549316406,12039542
2025-05-14,132.7100067138672,137.17999267578125,132.1699981689453,135.25999450683594,29148950
2025-05-15,135.00999450683594,135.58999633789062,133.61000061035156,133.6699981689453,14494424
2025-05-16,133.3800048828125,133.58999633789062,131.0500030517578,131.0800018310547,17354288
2025-05-19,129.1999969482422,130.10000610351562,128.8800048828125,129.3000030517578,23700824
2025-05-20,129.0,129.6300048828125,128.8699951171875,129.1300048828125,15936916
2025-05-21,129.1300048828125,129.8800048828125,129.0,129.25999450683594,14169298
2025-05-22,129.27000427246094,129.47000122070312,128.83999633789062,129.08999633789062,9605451
2025-05-23,129.3800048828125,129.3800048828125,128.14999389648438,128.14999389648438,15037984
2025-05-26,127.97000122070312,128.14999389648438,125.88999938964844,126.41000366210938,27361547
2025-05-27,126.27999877929688,126.94999694824219,125.88999938964844,126.16000366210938,15126840
2025-05-28,126.30000305175781,127.12999725341797,125.5,126.91999816894531,18138470
2025-05-29,126.5999984741211,127.5,125.9000015258789,127.31999969482422,16034701
